word,ending,,,
bat,at,,,
cat,at,,,
fat,at,,,
hat,at,,,
mat,at,,,
pat,at,,,
rat,at,,,
sat,at,,,
chat,at,,,
flat,at,,,
slat,at,,,
that,at,,,
acrobat,at,,,
cap,ap,,,
gap,ap,,,
lap,ap,,,
map,ap,,,
nap,ap,,,
rap,ap,,,
sap,ap,,,
tap,ap,,,
zap,ap,,,
clap,ap,,,
flap,ap,,,
slap,ap,,,
snap,ap,,,
trap,ap,,,
wrap,ap,,,
cab,ab,,,
dab,ab,,,
gab,ab,,,
jab,ab,,,
lab,ab,,,
nab,ab,,,
tab,ab,,,
blab,ab,,,
crab,ab,,,
flab,ab,,,
grab,ab,,,
scab,ab,,,
slab,ab,,,
stab,ab,,,
bad,ad,,,
cad,ad,,,
dad,ad,,,
fad,ad,,,
had,ad,,,
lad,ad,,,
mad,ad,,,
pad,ad,,,
sad,ad,,,
tad,ad,,,
clad,ad,,,
glad,ad,,,
grad,ad,,,
dam,am,,,
ham,am,,,
jam,am,,,
ram,am,,,
yam,am,,,
clam,am,,,
cram,am,,,
exam,am,,,
gram,am,,,
scam,am,,,
scram,am,,,
sham,am,,,
slam,am,,,
swam,am,,,
tram,am,,,
